pct,year,kommune
40.6,2011,billund
31.7,2011,esbjerg
26.7,2011,fanoe
33.4,2011,fredericia
33.4,2011,haderslev
31,2011,kolding
31.1,2011,soenderborg
36.5,2011,toender
42.9,2011,varde
37.7,2011,vejen
29.4,2011,vejle
36,2011,aabenraa
