pct,year,kommune
28.7,2015,billund
22,2015,esbjerg
18.9,2015,fanoe
17.5,2015,fredericia
23.9,2015,haderslev
22.2,2015,kolding
21.5,2015,soenderborg
26.7,2015,toender
32.7,2015,varde
28.1,2015,vejen
21.3,2015,vejle
24.5,2015,aabenraa
