pct,year,kommune
32.4,2015,billund
26.4,2015,esbjerg
20,2015,fanoe
29.8,2015,fredericia
28.3,2015,haderslev
25.9,2015,kolding
30.4,2015,soenderborg
29.4,2015,toender
28.5,2015,varde
28.5,2015,vejen
27.5,2015,vejle
31.8,2015,aabenraa
