pct,year,kommune
20.2,2011,billund
26.9,2011,esbjerg
20.8,2011,fanoe
30.4,2011,fredericia
24.2,2011,haderslev
21,2011,kolding
27.4,2011,soenderborg
24.3,2011,toender
18.8,2011,varde
22.9,2011,vejen
22.2,2011,vejle
24.9,2011,aabenraa
