pct,year,kommune
17.1,2011,billund
13.1,2011,esbjerg
13.1,2011,fanoe
15.2,2011,fredericia
13.8,2011,haderslev
14.2,2011,kolding
15.2,2011,soenderborg
13.8,2011,toender
14.2,2011,varde
14.2,2011,vejen
16.8,2011,vejle
15.6,2011,aabenraa
