kommune, 2015_socialdemokratiet,2015_radikale_venstre,2015_de_konservative,2015_socialistisk_folkeparti,2015_liberal_alliance,2015_kristendemokraterne,2015_dansk_folkeparti,2015_venstre,2015_enhedslisten,2015_alternativet
Billund,19.4,2.2,1.7,2.2,6.7,1.8,32.4,28.7,3.2,1.7
Esbjerg,25.8,2.7,2,3.5,7,0.8,26.4,22,7.3,2.5
Fanoe,27.1,3.2,3.4,5.2,6.2,0.3,20,18.9,10.2,5.5
Fredericia,28,2.5,2,3.4,6.7,0.8,29.8,17.5,6.1,3.1
Haderslev,24.3,2.8,2.2,2.6,7,1.4,13.8,28.3,23.9,5,2.5
Kolding,22.8,3.6,3.3,4.3,9,1,25.9,22.2,4.9,3.1
Soenderborg,25.3,4.3,1.8,2.4,7.2,0.5,30.4,21.5,4.3,2.2
Toender,21.3,2.6,2,2.4,7.3,1.7,29.4,26.7,4.6,2.1
Varde,18.7,2.4,1.6,2.3,6.7,1.5,28.5,32.7,3.7,1.9
Vejen,22.4,2.1,2.3,2.5,7.4,0.8,28.5,28.1,3.9,1.9
Vejle,23,4,2.3,3.4,8.5,1.3,27.5,21.3,5,3.6
Aabenraa,21.9,3.3,1.8,2.3,7,1,31.8,24.5,4.5,2
